influencer_id,influencer_name,username,platform,category,country,followers,engagement_rate,avg_likes,avg_comments,avg_shares,avg_saves,reach,impressions,audience_quality_score,brand_name,brand_industry,target_audience,brand_match_score,campaign_type,campaign_duration_days,sponsored_post_count,estimated_campaign_budget,estimated_clicks,estimated_ctr,estimated_conversions,estimated_sales,estimated_revenue,estimated_roi,growth_tier,growth_score,authenticity_score,fake_follower_probability,campaign_success
INF-67156D8F,instagram,instagram,Instagram,Photography,India,579800000.0,0.0006,375100,466400,13915,20873,86970000,104364000,20.0,Canon,Photography & Tech,20-40 Mixed,0.933,Reel/Short Video,11,1,119600.0,434850,0.005,2174,2174,326100.0,1.727,Mega,7.8,29.0,0.53,0
INF-D8E23DD2,cristiano,cristiano ronaldo,Instagram,Sports with a ball,India,523000000.0,0.0224,11700000,14700000,468608,702912,78450000,94140000,22.0,Gatorade,Sports & Nutrition,16-35 Male,0.901,Reel/Short Video,48,3,269200.0,392250,0.005,3922,3922,149036.0,-0.446,Mega,30.2,60.4,0.048,0
INF-81A4B2D2,Cristiano Ronaldo,cristiano,Instagram,Sports with a ball,India,477900000.0,0.0105,5000000,6200000,200718,301077,71685000,86022000,20.0,Adidas,Sports & Fitness,16-35 Male,0.956,Reel/Short Video,41,2,266200.0,358425,0.005,3943,3943,256295.0,-0.037,Mega,19.0,60.2,0.024,0
INF-B9484BE0,leomessi,leo messi,Instagram,Sports with a ball,Argentina,409800000.0,0.0434,17800000,23400000,711413,1067119,61470000,73764000,31.2,Gatorade,Sports & Nutrition,16-35 Male,0.833,Live Stream,10,1,427600.0,633141,0.0103,5508,5508,209304.0,-0.511,Mega,46.0,68.0,0.036,1
INF-59B935D4,kyliejenner,kylie 🤍,Instagram,Fashion,United States,376300000.0,0.0072,2700000,4300000,108374,162562,56445000,67734000,20.0,Zara,Fashion & Apparel,18-35 Female,0.767,Story Ad,10,1,455100.0,282225,0.005,2371,2371,130405.0,-0.713,Mega,15.8,54.2,0.122,0
INF-C4C4FB5B,Kylie 🤍,kyliejenner,Instagram,Fashion,United States,368100000.0,0.0095,3500000,5500000,139878,209817,55215000,66258000,20.0,Levi's,Fashion & Apparel,18-35 Female,0.714,Brand Ambassador,31,2,144800.0,276075,0.005,2209,2209,121495.0,-0.161,Mega,19.5,55.4,0.102,0
INF-99DFD082,selenagomez,selena gomez,Instagram,Photography,United States,365400000.0,0.006,2200000,2900000,87696,131544,54810000,65772000,20.0,Canon,Photography & Tech,20-40 Mixed,0.896,Brand Ambassador,58,3,235600.0,274050,0.005,1973,1973,295950.0,0.256,Mega,14.4,52.4,0.15,0
INF-0DA40F2A,Leo Messi,leomessi,Instagram,Sports with a ball,Indonesia,358600000.0,0.0075,2700000,3500000,107580,161370,53790000,64548000,20.0,Adidas,Sports & Fitness,16-35 Male,0.713,Giveaway,13,1,279800.0,268950,0.005,2582,2582,167830.0,-0.4,Mega,14.6,51.1,0.172,0
INF-568956AB,therock,dwayne johnson,Instagram,Fitness & Gym,India,355200000.0,0.0021,761200,976300,29837,44755,53280000,63936000,20.0,Nike,Sports & Fitness,20-40 Mixed,0.794,Product Review,15,1,374100.0,266400,0.005,1332,1332,86580.0,-0.769,Mega,11.3,30.2,0.511,0
INF-8A453121,arianagrande,ariana grande,Instagram,Music,United States,345900000.0,0.0072,2500000,3400000,99619,149429,51885000,62262000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.925,Giveaway,49,6,201100.0,259425,0.005,2906,2906,348720.0,0.734,Mega,15.1,52.2,0.154,0
